Grupo; Descrição; Fabricante; Unid.; Quant.; Dimensões; Chave; Cod.fabrica
Tubos ;  ;  ;  ;  ;  ;  ; 
 ; TUBO PVC SOLDAVEL 25MM; ; MT; 79.06; 25; RU1098; RU1098
 ; CURVA 45 PVC SOLDAVEL 25MM; ; PC; 1.00; 25; RU1117; RU1117
 ; TE PVC SOLDAVEL 25MM; ; PC; 2.00; 25; RU1151; RU1151
 ; TUBO CPVC 42MM; ; MT; 4.00; 42; RU1160; RU1160
 ; TUBO CPVC 73MM; ; MT; 4.00; 73; RU1162; RU1162
 ; TUBO AÇO POLIETILENO 110MM - SISGAS; ; MT; 4.00; 110; RU1276; RU1276
 ; KIT INCENDIO (ABRIGO, MANGUEIRA, CHAVE STORS, TAMPÃO STORS, ADAPTADOR E BICO JATO); ; PC; 1.00; 1; RU1351; RU1351
 ; VALVULA PARA HIDRANTE 45 50MM; ; PC; 1.00; 1; RU1352; RU1352
 ; TUBOS DE ACO GALVANIZADO 50MM; ; MT; 19.51; 1; RU1358; RU1358
 ; TE DE ACO GALVANIZADO 50MM; ; PC; 1.00; 1; RU1368; RU1368
 ; COTOVELO 90 DE ACO GALVANIZADO 50MM; ; PC; 9.00; 1; RU1378; RU1378
 ; TUBO PVC SERIE NORMAL 75MM; ; MT; 81.81; 1; RU1395; RU1395
 ; TUBO PVC SERIE NORMAL 100MM; ; MT; 411.75; 1; RU1396; RU1396
 ; TUBO PVC SERIE NORMAL 150MM; ; MT; 39.42; 1; RU1397; RU1397
 ; JOELHO 45 PVC SERIE NORMAL 75MM; ; PC; 14.00; 1; RU1406; RU1406
 ; JOELHO 45 PVC SERIE NORMAL 100MM; ; PC; 139.00; 1; RU1407; RU1407
 ; JOELHO 90 PVC SERIE NORMAL 100MM; ; PC; 39.00; 1; RU1411; RU1411
 ; JOELHO 90 PVC SERIE NORMAL 150MM; ; PC; 2.00; 1; RU1412; RU1412
 ; JUNCAO SIMPLES PVC SERIE NORMAL 100X75; ; PC; 8.00; 1; RU1419; RU1419
 ; JUNCAO SIMPLES PVC SERIE NORMAL 100X100; ; PC; 12.00; 1; RU1420; RU1420
 ; JUNCAO SIMPLES PVC SERIE NORMAL 150X100; ; PC; 3.00; 1; RU1421; RU1421
 ; JUNCAO SIMPLES PVC SERIE NORMAL 150X150; ; PC; 1.00; 1; RU1422; RU1422
 ; TUBO PVC SERIE REFOCADA 75MM; ; MT; 6.63; 1; RU1509; RU1509
 ; TUBO PVC SERIE REFOCADA 100MM; ; MT; 132.80; 1; RU1510; RU1510
 ; TUBO PVC SERIE REFOCADA 150MM; ; MT; 82.32; 1; RU1511; RU1511
 ; JOELHO 45 PVC SERIE REFOCADA 100MM; ; PC; 47.00; 1; RU1520; RU1520
 ; JOELHO 45 PVC SERIE REFOCADA 150MM; ; PC; 20.00; 1; RU1521; RU1521
 ; JOELHO 90 PVC SERIE REFOCADA 100MM; ; PC; 15.00; 1; RU1525; RU1525
 ; JOELHO 90 PVC SERIE REFOCADA 150MM; ; PC; 3.00; 1; RU1526; RU1526
 ; JUNCAO SIMPLES PVC SERIE REFOCADA 100X100; ; PC; 1.00; 1; RU1533; RU1533
 ; JUNCAO SIMPLES PVC SERIE REFOCADA 150X100; ; PC; 4.00; 1; RU1534; RU1534
 ; JUNCAO SIMPLES PVC SERIE REFOCADA 150X150; ; PC; 4.00; 1; RU1535; RU1535
 ; JOELHO 45 EM FERRO FUNDIDO 75MM; ; PC; 24.00; 1; RU1551; RU1551
 ; JOELHO 45 EM FERRO FUNDIDO 100MM; ; PC; 98.00; 1; RU1552; RU1552
 ; RALO LINEAR 70CM ; ; MT; 43.01; 1; RU1559; RU1559
 ; REDUCAO EXCENTRICA PVC SERIE NORMAL 150X100MM; ; PC; 2.00; 1; RU1563; RU1563
 ; REDUCAO EXCENTRICA PVC SERIE REFOCADA 100X75MM; ; PC; 4.00; 1; RU1566; RU1566
 ; REDUCAO EXCENTRICA PVC SERIE REFOCADA 150X100MM; ; PC; 8.00; 1; RU1567; RU1567
 ; CAIXA POLAR; ; PC; 13.00; 1; RU1652; RU1652
 ; JOELHO 45 PVC SERIE NORMAL 150MM; ; PC; 18.00; 1; RU1658; RU1658
 ; JOELHO 90 PVC SOLDAVEL 25MM; ; PC; 19.00; 1; RU1715; RU1715
 ; TORNEIRA ESFERA 1/2" ; ; PC; 12.00; 1; RU1720; RU1720
